"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2017-07-25"
"Position","Track Name","Artist","Streams","URL","2017-07-25"
"1","Despacito - Remix","Luis Fonsi","4599149","https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb","2017-07-25"
"2","Mi Gente","J Balvin","4235692","https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8","2017-07-25"
"3","Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled","3923026","https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi","2017-07-25"
"4","Unforgettable","French Montana","3574692","https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe","2017-07-25"
"5","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled","3328807","https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817","2017-07-25"
"6","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris","3277624","https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke","2017-07-25"
"7","2U (feat. Justin Bieber)","David Guetta","3229456","https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M","2017-07-25"
"8","Shape of You","Ed Sheeran","3044695","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2017-07-25"
"9","Attention","Charlie Puth","2950047","https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv","2017-07-25"
"10","Strip That Down","Liam Payne","2867321","https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ","2017-07-25"
"11","Thunder","Imagine Dragons","2714228","https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW","2017-07-25"
"12","Mama","Jonas Blue","2646302","https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w","2017-07-25"
"13","There's Nothing Holdin' Me Back","Shawn Mendes","2424497","https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu","2017-07-25"
"14","XO TOUR Llif3","Lil Uzi Vert","2383076","https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq","2017-07-25"
"15","Sorry Not Sorry","Demi Lovato","2379536","https://open.spotify.com/track/25C5CowdsfXld2jJanbiex","2017-07-25"
"16","More Than You Know","Axwell /\ Ingrosso","2186413","https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz","2017-07-25"
"17","Fetish (feat. Gucci Mane)","Selena Gomez","2155126","https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq","2017-07-25"
"18","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo","2054722","https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF","2017-07-25"
"19","HUMBLE.","Kendrick Lamar","2044066","https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS","2017-07-25"
"20","Something Just Like This","The Chainsmokers","1985232","https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW","2017-07-25"
"21","There for You","Martin Garrix","1976660","https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y","2017-07-25"
"22","Despacito (Featuring Daddy Yankee)","Luis Fonsi","1948771","https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2","2017-07-25"
"23","Congratulations","Post Malone","1933045","https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9","2017-07-25"
"24","Felices los 4","Maluma","1906806","https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn","2017-07-25"
"25","Believer","Imagine Dragons","1859322","https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6","2017-07-25"
"26","Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann","1851569","https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR","2017-07-25"
"27","Me Rehúso","Danny Ocean","1851172","https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl","2017-07-25"
"28","Slow Hands","Niall Horan","1784444","https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh","2017-07-25"
"29","Your Song","Rita Ora","1774067","https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5","2017-07-25"
"30","Signs","Drake","1752971","https://open.spotify.com/track/5EnYT6F7wEcdege6mDHEfO","2017-07-25"
"31","Slide (feat. Frank Ocean & Migos)","Calvin Harris","1737080","https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl","2017-07-25"
"32","Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer","1732139","https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH","2017-07-25"
"33","I Like Me Better","Lauv","1670776","https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9","2017-07-25"
"34","Crying in the Club","Camila Cabello","1664112","https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev","2017-07-25"
"35","In the End","Linkin Park","1650551","https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq","2017-07-25"
"36","Symphony (feat. Zara Larsson)","Clean Bandit","1632152","https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8","2017-07-25"
"37","Bad Liar","Selena Gomez","1616719","https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23","2017-07-25"
"38","That's What I Like","Bruno Mars","1541538","https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU","2017-07-25"
"39","Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson","1524269","https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6","2017-07-25"
"40","Stay (with Alessia Cara)","Zedd","1521360","https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g","2017-07-25"
"41","New Rules","Dua Lipa","1511465","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2017-07-25"
"42","BUTTERFLY EFFECT","Travis Scott","1434110","https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX","2017-07-25"
"43","Redbone","Childish Gambino","1424943","https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y","2017-07-25"
"44","Escápate Conmigo","Wisin","1412419","https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6","2017-07-25"
"45","Mask Off","Future","1411746","https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8","2017-07-25"
"46","SUBEME LA RADIO","Enrique Iglesias","1407764","https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn","2017-07-25"
"47","No Promises (feat. Demi Lovato)","Cheat Codes","1391868","https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW","2017-07-25"
"48","Numb","Linkin Park","1372910","https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h","2017-07-25"
"49","Location","Khalid","1351010","https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif","2017-07-25"
"50","Una Lady Como Tú","Manuel Turizo","1286772","https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF","2017-07-25"
"51","Heavy (feat. Kiiara)","Linkin Park","1259744","https://open.spotify.com/track/104buTcnP2AsxqB7U1FIZ4","2017-07-25"
"52","It Ain't Me (with Selena Gomez)","Kygo","1253017","https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe","2017-07-25"
"53","Ahora Dice","Chris Jeday","1242997","https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy","2017-07-25"
"54","Bank Account","21 Savage","1205330","https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s","2017-07-25"
"55","Galway Girl","Ed Sheeran","1189513","https://open.spotify.com/track/0afhq8XCExXpqazXczTSve","2017-07-25"
"56","Glorious (feat. Skylar Grey)","Macklemore","1169799","https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR","2017-07-25"
"57","Bonita","J Balvin","1128614","https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v","2017-07-25"
"58","Most Girls","Hailee Steinfeld","1084650","https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ","2017-07-25"
"59","Malibu","Miley Cyrus","1069918","https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O","2017-07-25"
"60","Praying","Kesha","1065192","https://open.spotify.com/track/79NlESqzFSW0hdBWgls4FX","2017-07-25"
"61","Hey DJ","CNCO","1047663","https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl","2017-07-25"
"62","DNA.","Kendrick Lamar","1044163","https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj","2017-07-25"
"63","1-800-273-8255","Logic","1036156","https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV","2017-07-25"
"64","Now Or Never","Halsey","1020176","https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8","2017-07-25"
"65","OK","Robin Schulz","1006330","https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS","2017-07-25"
"66","Passionfruit","Drake","991855","https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd","2017-07-25"
"67","Rollin (feat. Future & Khalid)","Calvin Harris","973812","https://open.spotify.com/track/0lMbuWUpfTWhEmOKxppEau","2017-07-25"
"68","Get Low (with Liam Payne)","Zedd","963415","https://open.spotify.com/track/1CKd1PnqfYx0H12V9MSaIY","2017-07-25"
"69","Rich Love (with Seeb)","OneRepublic","962376","https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD","2017-07-25"
"70","First Time","Kygo","962216","https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr","2017-07-25"
"71","Down","Fifth Harmony","954627","https://open.spotify.com/track/7LEydI5NfjY6mZfKwYIptZ","2017-07-25"
"72","goosebumps","Travis Scott","946493","https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2","2017-07-25"
"73","Say You Won't Let Go","James Arthur","945381","https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh","2017-07-25"
"74","Body Like A Back Road","Sam Hunt","940987","https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO","2017-07-25"
"75","Closer","The Chainsmokers","903709","https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw","2017-07-25"
"76","Sign of the Times","Harry Styles","879529","https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN","2017-07-25"
"77","Young Dumb & Broke","Khalid","878436","https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY","2017-07-25"
"78","Magnolia","Playboi Carti","872395","https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl","2017-07-25"
"79","Slippery (feat. Gucci Mane)","Migos","866028","https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE","2017-07-25"
"80","Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit","859190","https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW","2017-07-25"
"81","Me Enamoré","Shakira","852967","https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9","2017-07-25"
"82","Issues","Julia Michaels","849339","https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt","2017-07-25"
"83","Tu Foto","Ozuna","840880","https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp","2017-07-25"
"84","Came Here for Love","Sigala","823105","https://open.spotify.com/track/3kGfazcbVvVkuZunzlLgTD","2017-07-25"
"85","What I've Done","Linkin Park","813645","https://open.spotify.com/track/4kfm1uI9QGaoN9qm6CkAMn","2017-07-25"
"86","Feel It Still","Portugal. The Man","794651","https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK","2017-07-25"
"87","La Rompe Corazones","Daddy Yankee","792753","https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3","2017-07-25"
"88","Scared to Be Lonely","Martin Garrix","788620","https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH","2017-07-25"
"89","Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version","Pitbull","769855","https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez","2017-07-25"
"90","I Feel It Coming","The Weeknd","760195","https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt","2017-07-25"
"91","Starboy","The Weeknd","755777","https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z","2017-07-25"
"92","El Amante","Nicky Jam","750854","https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs","2017-07-25"
"93","iSpy (feat. Lil Yachty)","KYLE","737626","https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL","2017-07-25"
"94","One Dance","Drake","736578","https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3","2017-07-25"
"95","Solo Dance","Martin Jensen","735761","https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN","2017-07-25"
"96","Castle on the Hill","Ed Sheeran","734018","https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT","2017-07-25"
"97","Sigo Extrañándote","J Balvin","718510","https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8","2017-07-25"
"98","Báilame","Nacho","702397","https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C","2017-07-25"
