"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2017-12-29"
"Position","Track Name","Artist","Streams","URL","2017-12-29"
"1","rockstar","Post Malone","4381890","https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx","2017-12-29"
"2","Havana","Camila Cabello","3758343","https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb","2017-12-29"
"3","River (feat. Ed Sheeran)","Eminem","3340557","https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD","2017-12-29"
"4","New Rules","Dua Lipa","3115995","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2017-12-29"
"5","Wolves","Selena Gomez","2934437","https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC","2017-12-29"
"6","Perfect","Ed Sheeran","2746190","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2017-12-29"
"7","Échame La Culpa","Luis Fonsi","2620416","https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK","2017-12-29"
"8","Let You Down","NF","2582862","https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr","2017-12-29"
"9","Him & I (with Halsey)","G-Eazy","2432022","https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4","2017-12-29"
"10","What Lovers Do (feat. SZA)","Maroon 5","2385542","https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k","2017-12-29"
"11","Too Good At Goodbyes","Sam Smith","2357987","https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV","2017-12-29"
"12","Gucci Gang","Lil Pump","2357251","https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc","2017-12-29"
"13","Shape of You","Ed Sheeran","2337631","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2017-12-29"
"14","Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran","2262480","https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI","2017-12-29"
"15","Silence","Marshmello","2182656","https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU","2017-12-29"
"16","I Fall Apart","Post Malone","2076849","https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh","2017-12-29"
"17","Corazón","Maluma","2009564","https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou","2017-12-29"
"18","Dusk Till Dawn - Radio Edit","ZAYN","1905174","https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv","2017-12-29"
"19","Downtown","Anitta","1832685","https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D","2017-12-29"
"20","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld","1820579","https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y","2017-12-29"
"21","Criminal","Natti Natasha","1747721","https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C","2017-12-29"
"22","Thunder","Imagine Dragons","1655899","https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW","2017-12-29"
"23","No Limit","G-Eazy","1654103","https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW","2017-12-29"
"24","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","1618877","https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn","2017-12-29"
"25","XO TOUR Llif3","Lil Uzi Vert","1615940","https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO","2017-12-29"
"26","Bartier Cardi (feat. 21 Savage)","Cardi B","1608978","https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT","2017-12-29"
"27","How Long","Charlie Puth","1605765","https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi","2017-12-29"
"28","Young Dumb & Broke","Khalid","1577053","https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY","2017-12-29"
"29","I Miss You (feat. Julia Michaels)","Clean Bandit","1576335","https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL","2017-12-29"
"30","Mi Gente","J Balvin","1547306","https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8","2017-12-29"
"31","Se Preparó","Ozuna","1526638","https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt","2017-12-29"
"32","Candy Paint","Post Malone","1497961","https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf","2017-12-29"
"33","Unforgettable","French Montana","1484202","https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe","2017-12-29"
"34","Congratulations","Post Malone","1471468","https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9","2017-12-29"
"35","Sensualidad","Bad Bunny","1463906","https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw","2017-12-29"
"36","Vai malandra (feat. Tropkillaz & DJ Yuri Martins)","Anitta","1449400","https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7","2017-12-29"
"37","Déjala que vuelva (feat. Manuel Turizo)","Piso 21","1444289","https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l","2017-12-29"
"38","1-800-273-8255","Logic","1427359","https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV","2017-12-29"
"39","Me Rehúso","Danny Ocean","1411197","https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl","2017-12-29"
"40","Mayores","Becky G","1400700","https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau","2017-12-29"
"41","Feel It Still","Portugal. The Man","1366716","https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK","2017-12-29"
"42","Stargazing","Kygo","1350690","https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP","2017-12-29"
"43","HUMBLE.","Kendrick Lamar","1332303","https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS","2017-12-29"
"44","Ric Flair Drip (& Metro Boomin)","Offset","1330223","https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR","2017-12-29"
"45","Man's Not Hot","Big Shaq","1305799","https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr","2017-12-29"
"46","Bank Account","21 Savage","1296101","https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G","2017-12-29"
"47","So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix","1273535","https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM","2017-12-29"
"48","Attention","Charlie Puth","1272724","https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv","2017-12-29"
"49","Something Just Like This","The Chainsmokers","1272106","https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW","2017-12-29"
"50","Never Be the Same","Camila Cabello","1173946","https://open.spotify.com/track/6VpQdig9pdpTSIFItgkJV5","2017-12-29"
"51","Anywhere","Rita Ora","1163856","https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2","2017-12-29"
"52","Despacito - Remix","Luis Fonsi","1148274","https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb","2017-12-29"
"53","Sorry Not Sorry","Demi Lovato","1132910","https://open.spotify.com/track/3m660poUr1chesgkkjQM7P","2017-12-29"
"54","Perro Fiel (feat. Nicky Jam)","Shakira","1129400","https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL","2017-12-29"
"55","Lonely Together (feat. Rita Ora)","Avicii","1114599","https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab","2017-12-29"
"56","Havana - Remix","Camila Cabello","1084211","https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ","2017-12-29"
"57","Que Va","Alex Sensation","1060379","https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O","2017-12-29"
"58","I Like Me Better","Lauv","1058210","https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9","2017-12-29"
"59","Believer","Imagine Dragons","1055299","https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6","2017-12-29"
"60","MotorSport","Migos","1045729","https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q","2017-12-29"
"61","All Falls Down (feat. Juliander)","Alan Walker","1044689","https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb","2017-12-29"
"62","More Than You Know","Axwell /\ Ingrosso","1038617","https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44","2017-12-29"
"63","Tip Toe (feat. French Montana)","Jason Derulo","1014967","https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6","2017-12-29"
"64","Bum Bum Tam Tam","MC Fioti","1011518","https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr","2017-12-29"
"65","Báilame - Remix","Nacho","1010951","https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr","2017-12-29"
"66","Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Machine Gun Kelly","1008421","https://open.spotify.com/track/0OI7AFifLSoGzpb8bdBLLV","2017-12-29"
"67","Friends (with BloodPop®)","Justin Bieber","996338","https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz","2017-12-29"
