"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2017-12-31"
"Position","Track Name","Artist","Streams","URL","2017-12-31"
"1","rockstar","Post Malone","5273727","https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx","2017-12-31"
"2","Havana","Camila Cabello","4540789","https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb","2017-12-31"
"3","New Rules","Dua Lipa","4497944","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2017-12-31"
"4","Shape of You","Ed Sheeran","3543846","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2017-12-31"
"5","Wolves","Selena Gomez","3466612","https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC","2017-12-31"
"6","River (feat. Ed Sheeran)","Eminem","3209075","https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD","2017-12-31"
"7","What Lovers Do (feat. SZA)","Maroon 5","3132182","https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k","2017-12-31"
"8","Despacito - Remix","Luis Fonsi","3018991","https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb","2017-12-31"
"9","Échame La Culpa","Luis Fonsi","2927841","https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK","2017-12-31"
"10","Perfect","Ed Sheeran","2805940","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2017-12-31"
"11","Let You Down","NF","2646623","https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr","2017-12-31"
"12","Him & I (with Halsey)","G-Eazy","2624451","https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4","2017-12-31"
"13","Gucci Gang","Lil Pump","2530123","https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc","2017-12-31"
"14","Silence","Marshmello","2358919","https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU","2017-12-31"
"15","Too Good At Goodbyes","Sam Smith","2257064","https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV","2017-12-31"
"16","Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran","2243964","https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI","2017-12-31"
"17","Mi Gente","J Balvin","2192014","https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8","2017-12-31"
"18","Dusk Till Dawn - Radio Edit","ZAYN","2133585","https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv","2017-12-31"
"19","Young Dumb & Broke","Khalid","2122721","https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY","2017-12-31"
"20","Corazón","Maluma","2099160","https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou","2017-12-31"
"21","Feel It Still","Portugal. The Man","2088058","https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK","2017-12-31"
"22","I Fall Apart","Post Malone","2085550","https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh","2017-12-31"
"23","Unforgettable","French Montana","1968505","https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe","2017-12-31"
"24","Thunder","Imagine Dragons","1929924","https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW","2017-12-31"
"25","Criminal","Natti Natasha","1915015","https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C","2017-12-31"
"26","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld","1903268","https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y","2017-12-31"
"27","Downtown","Anitta","1858318","https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D","2017-12-31"
"28","Sensualidad","Bad Bunny","1856078","https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw","2017-12-31"
"29","Me Rehúso","Danny Ocean","1852258","https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl","2017-12-31"
"30","No Limit","G-Eazy","1828604","https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW","2017-12-31"
"31","XO TOUR Llif3","Lil Uzi Vert","1782977","https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO","2017-12-31"
"32","Stargazing","Kygo","1782960","https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP","2017-12-31"
"33","Something Just Like This","The Chainsmokers","1768960","https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW","2017-12-31"
"34","1-800-273-8255","Logic","1740727","https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV","2017-12-31"
"35","More Than You Know","Axwell /\ Ingrosso","1740012","https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44","2017-12-31"
"36","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","1652333","https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn","2017-12-31"
"37","Man's Not Hot","Big Shaq","1644960","https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr","2017-12-31"
"38","How Long","Charlie Puth","1612481","https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi","2017-12-31"
"39","Bartier Cardi (feat. 21 Savage)","Cardi B","1610911","https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT","2017-12-31"
"40","I Miss You (feat. Julia Michaels)","Clean Bandit","1600999","https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL","2017-12-31"
"41","Se Preparó","Ozuna","1594858","https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt","2017-12-31"
"42","Congratulations","Post Malone","1548536","https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9","2017-12-31"
"43","One Dance","Drake","1546059","https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3","2017-12-31"
"44","Mayores","Becky G","1540172","https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau","2017-12-31"
"45","Vai malandra (feat. Tropkillaz & DJ Yuri Martins)","Anitta","1516870","https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7","2017-12-31"
"46","Symphony (feat. Zara Larsson)","Clean Bandit","1490064","https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8","2017-12-31"
"47","HUMBLE.","Kendrick Lamar","1483050","https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS","2017-12-31"
"48","Candy Paint","Post Malone","1478194","https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf","2017-12-31"
"49","Déjala que vuelva (feat. Manuel Turizo)","Piso 21","1455475","https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l","2017-12-31"
"50","Closer","The Chainsmokers","1445347","https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw","2017-12-31"
"51","Attention","Charlie Puth","1424048","https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv","2017-12-31"
"52","Billie Jean","Michael Jackson","1378312","https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5","2017-12-31"
"53","Lonely Together (feat. Rita Ora)","Avicii","1332507","https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab","2017-12-31"
"54","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo","1322562","https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF","2017-12-31"
"55","Bank Account","21 Savage","1321363","https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G","2017-12-31"
"56","Ric Flair Drip (& Metro Boomin)","Offset","1320126","https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR","2017-12-31"
"57","Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis","1301225","https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn","2017-12-31"
"58","So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix","1296524","https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM","2017-12-31"
"59","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled","1268273","https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817","2017-12-31"
